planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-opt-lmcut,2007,0,10,level_00_seed_010,5.03,43,17
seq-opt-lmcut,2007,3,0,level_03_seed_000,4.22,51,30
seq-opt-lmcut,2007,4,3,level_04_seed_003,3.37,159,33
seq-opt-lmcut,2007,2,8,level_02_seed_008,2.19,8,7
seq-opt-lmcut,2007,3,5,level_03_seed_005,3.3,159,33
seq-opt-lmcut,2007,2,27,level_02_seed_027,2.21,8,7
seq-opt-lmcut,2007,3,12,level_03_seed_012,5.03,43,17
seq-opt-lmcut,2007,3,27,level_03_seed_027,6.27,55,19
seq-opt-lmcut,2007,2,16,level_02_seed_016,2.19,8,7
seq-opt-lmcut,2007,4,9,level_04_seed_009,3.34,159,33
seq-opt-lmcut,2007,0,19,level_00_seed_019,2.19,8,7
seq-opt-lmcut,2007,1,23,level_01_seed_023,5.01,43,17
seq-opt-lmcut,2007,2,15,level_02_seed_015,6.26,55,19
seq-opt-lmcut,2007,3,28,level_03_seed_028,4.19,51,30
seq-opt-lmcut,2007,1,19,level_01_seed_019,6.44,55,19
seq-opt-lmcut,2007,2,4,level_02_seed_004,4.11,51,30
seq-opt-lmcut,2007,0,8,level_00_seed_008,2.21,8,7
seq-opt-lmcut,2007,3,8,level_03_seed_008,3.27,159,33
seq-opt-lmcut,2007,2,10,level_02_seed_010,3.33,159,33
seq-opt-lmcut,2007,3,7,level_03_seed_007,3.3,159,33
seq-opt-lmcut,2007,0,20,level_00_seed_020,2.17,8,7
seq-opt-lmcut,2007,2,11,level_02_seed_011,2.17,8,7
seq-opt-lmcut,2007,1,16,level_01_seed_016,2.21,8,7
seq-opt-lmcut,2007,4,20,level_04_seed_020,6.47,55,19
seq-opt-lmcut,2007,0,0,level_00_seed_000,2.2,8,7
seq-opt-lmcut,2007,4,19,level_04_seed_019,3.38,159,33
seq-opt-lmcut,2007,2,1,level_02_seed_001,3.26,159,33
seq-opt-lmcut,2007,3,22,level_03_seed_022,3.35,159,33
seq-opt-lmcut,2007,1,28,level_01_seed_028,2.17,8,7
seq-opt-lmcut,2007,3,23,level_03_seed_023,3.37,159,33
seq-opt-lmcut,2007,1,21,level_01_seed_021,2.2,8,7
seq-opt-lmcut,2007,3,20,level_03_seed_020,3.34,159,33
seq-opt-lmcut,2007,4,18,level_04_seed_018,6.34,55,19
seq-opt-lmcut,2007,4,6,level_04_seed_006,6.43,55,19
seq-opt-lmcut,2007,4,22,level_04_seed_022,4.17,51,30
seq-opt-lmcut,2007,0,2,level_00_seed_002,6.3,55,19
seq-opt-lmcut,2007,0,13,level_00_seed_013,6.49,55,19
seq-opt-lmcut,2007,2,14,level_02_seed_014,5.05,43,17
seq-opt-lmcut,2007,2,22,level_02_seed_022,2.21,8,7
seq-opt-lmcut,2007,2,20,level_02_seed_020,6.34,55,19
seq-opt-lmcut,2007,0,12,level_00_seed_012,2.17,8,7
seq-opt-lmcut,2007,0,27,level_00_seed_027,5.02,43,17
seq-opt-lmcut,2007,4,12,level_04_seed_012,7.14,87,35
seq-opt-lmcut,2007,2,28,level_02_seed_028,3.3,159,33
seq-opt-lmcut,2007,3,15,level_03_seed_015,7.14,87,35
seq-opt-lmcut,2007,1,13,level_01_seed_013,4.09,51,30
seq-opt-lmcut,2007,4,1,level_04_seed_001,3.36,159,33
seq-opt-lmcut,2007,4,29,level_04_seed_029,3.35,159,33
seq-opt-lmcut,2007,3,3,level_03_seed_003,3.33,159,33
seq-opt-lmcut,2007,4,24,level_04_seed_024,6.46,55,19
seq-opt-lmcut,2007,1,10,level_01_seed_010,4.42,51,30
seq-opt-lmcut,2007,0,3,level_00_seed_003,2.2,8,7
seq-opt-lmcut,2007,1,9,level_01_seed_009,4.23,51,30
seq-opt-lmcut,2007,2,25,level_02_seed_025,5.2,43,17
seq-opt-lmcut,2007,4,13,level_04_seed_013,4.18,51,30
seq-opt-lmcut,2007,1,25,level_01_seed_025,2.2,8,7
seq-opt-lmcut,2007,3,9,level_03_seed_009,7.22,87,35
seq-opt-lmcut,2007,0,22,level_00_seed_022,2.16,8,7
seq-opt-lmcut,2007,2,26,level_02_seed_026,6.38,55,19
seq-opt-lmcut,2007,0,7,level_00_seed_007,2.18,8,7
seq-opt-lmcut,2007,0,4,level_00_seed_004,5.07,43,17
seq-opt-lmcut,2007,0,26,level_00_seed_026,2.19,8,7
seq-opt-lmcut,2007,1,4,level_01_seed_004,5.07,43,17
seq-opt-lmcut,2007,1,14,level_01_seed_014,5.08,43,17
seq-opt-lmcut,2007,3,13,level_03_seed_013,5.05,43,17
seq-opt-lmcut,2007,4,7,level_04_seed_007,6.41,55,19
seq-opt-lmcut,2007,1,24,level_01_seed_024,4.18,51,30
seq-opt-lmcut,2007,1,5,level_01_seed_005,6.3,55,19
seq-opt-lmcut,2007,4,5,level_04_seed_005,3.38,159,33
seq-opt-lmcut,2007,3,29,level_03_seed_029,4.13,51,30
seq-opt-lmcut,2007,3,2,level_03_seed_002,5.06,43,17
seq-opt-lmcut,2007,4,15,level_04_seed_015,7.22,87,35
seq-opt-lmcut,2007,0,5,level_00_seed_005,6.35,55,19
seq-opt-lmcut,2007,0,9,level_00_seed_009,5.09,43,17
seq-opt-lmcut,2007,3,21,level_03_seed_021,7.15,87,35
seq-opt-lmcut,2007,2,17,level_02_seed_017,3.33,159,33
seq-opt-lmcut,2007,2,19,level_02_seed_019,2.2,8,7
seq-opt-lmcut,2007,4,4,level_04_seed_004,5.87,163,44
seq-opt-lmcut,2007,0,28,level_00_seed_028,2.21,8,7
seq-opt-lmcut,2007,0,21,level_00_seed_021,6.35,55,19
seq-opt-lmcut,2007,0,11,level_00_seed_011,5.16,43,17
seq-opt-lmcut,2007,3,16,level_03_seed_016,7.11,87,35
seq-opt-lmcut,2007,2,24,level_02_seed_024,4.18,51,30
seq-opt-lmcut,2007,1,22,level_01_seed_022,6.33,55,19
seq-opt-lmcut,2007,3,4,level_03_seed_004,4.17,51,30
seq-opt-lmcut,2007,3,11,level_03_seed_011,6.36,55,19
seq-opt-lmcut,2007,0,29,level_00_seed_029,5.1,43,17
seq-opt-lmcut,2007,3,6,level_03_seed_006,4.13,51,30
seq-opt-lmcut,2007,1,3,level_01_seed_003,4.09,51,30
seq-opt-lmcut,2007,3,25,level_03_seed_025,7.0,87,35
seq-opt-lmcut,2007,2,29,level_02_seed_029,2.2,8,7
seq-opt-lmcut,2007,1,12,level_01_seed_012,6.29,55,19
seq-opt-lmcut,2007,2,5,level_02_seed_005,6.32,55,19
seq-opt-lmcut,2007,4,0,level_04_seed_000,3.3,159,33
seq-opt-lmcut,2007,2,23,level_02_seed_023,2.18,8,7
seq-opt-lmcut,2007,3,1,level_03_seed_001,6.55,55,19
seq-opt-lmcut,2007,4,23,level_04_seed_023,6.32,55,19
seq-opt-lmcut,2007,1,11,level_01_seed_011,6.33,55,19
seq-opt-lmcut,2007,4,10,level_04_seed_010,6.41,55,19
seq-opt-lmcut,2007,2,9,level_02_seed_009,6.36,55,19
seq-opt-lmcut,2007,1,26,level_01_seed_026,4.21,51,30
seq-opt-lmcut,2007,4,16,level_04_seed_016,5.92,163,44
seq-opt-lmcut,2007,1,27,level_01_seed_027,4.12,51,30
seq-opt-lmcut,2007,1,29,level_01_seed_029,6.54,55,19
seq-opt-lmcut,2007,1,20,level_01_seed_020,2.22,8,7
seq-opt-lmcut,2007,1,8,level_01_seed_008,5.08,43,17
seq-opt-lmcut,2007,0,15,level_00_seed_015,2.18,8,7
seq-opt-lmcut,2007,0,14,level_00_seed_014,6.31,55,19
seq-opt-lmcut,2007,1,17,level_01_seed_017,4.15,51,30
seq-opt-lmcut,2007,1,7,level_01_seed_007,5.03,43,17
seq-opt-lmcut,2007,0,25,level_00_seed_025,2.18,8,7
seq-opt-lmcut,2007,3,24,level_03_seed_024,3.39,159,33
seq-opt-lmcut,2007,0,24,level_00_seed_024,6.46,55,19
seq-opt-lmcut,2007,4,25,level_04_seed_025,6.36,55,19
seq-opt-lmcut,2007,0,1,level_00_seed_001,2.22,8,7
seq-opt-lmcut,2007,4,27,level_04_seed_027,4.15,51,30
seq-opt-lmcut,2007,2,13,level_02_seed_013,4.08,51,30
seq-opt-lmcut,2007,2,0,level_02_seed_000,3.29,159,33
seq-opt-lmcut,2007,1,6,level_01_seed_006,5.01,51,30
