planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,2007,0,10,level_00_seed_010,5.11,1292,19
lama,2007,3,0,level_03_seed_000,4.18,278,30
lama,2007,4,3,level_04_seed_003,3.36,1637,33
lama,2007,2,8,level_02_seed_008,2.18,239,7
lama,2007,3,5,level_03_seed_005,3.28,1637,33
lama,2007,2,27,level_02_seed_027,2.19,239,7
lama,2007,3,12,level_03_seed_012,5.07,1292,19
lama,2007,3,27,level_03_seed_027,6.35,482,19
lama,2007,2,16,level_02_seed_016,2.17,239,7
lama,2007,4,9,level_04_seed_009,3.31,1637,33
lama,2007,0,19,level_00_seed_019,2.17,239,7
lama,2007,1,23,level_01_seed_023,5.09,1292,19
lama,2007,2,15,level_02_seed_015,6.36,482,19
lama,2007,3,28,level_03_seed_028,4.08,278,30
lama,2007,1,19,level_01_seed_019,6.34,482,19
lama,2007,2,4,level_02_seed_004,4.12,278,30
lama,2007,0,8,level_00_seed_008,2.18,239,7
lama,2007,3,8,level_03_seed_008,3.35,1637,33
lama,2007,2,10,level_02_seed_010,3.37,1637,33
lama,2007,3,7,level_03_seed_007,3.33,1637,33
lama,2007,0,20,level_00_seed_020,2.21,239,7
lama,2007,2,11,level_02_seed_011,2.22,239,7
lama,2007,1,16,level_01_seed_016,2.22,239,7
lama,2007,4,20,level_04_seed_020,6.33,482,19
lama,2007,0,0,level_00_seed_000,2.19,239,7
lama,2007,4,19,level_04_seed_019,3.33,1637,33
lama,2007,2,1,level_02_seed_001,3.3,1637,33
lama,2007,3,22,level_03_seed_022,3.31,1637,33
lama,2007,1,28,level_01_seed_028,2.21,239,7
lama,2007,3,23,level_03_seed_023,3.35,1637,33
lama,2007,1,21,level_01_seed_021,2.24,239,7
lama,2007,3,20,level_03_seed_020,3.33,1637,33
lama,2007,4,18,level_04_seed_018,6.37,482,19
lama,2007,4,6,level_04_seed_006,6.39,482,19
lama,2007,4,22,level_04_seed_022,4.26,278,30
lama,2007,0,2,level_00_seed_002,6.49,482,19
lama,2007,0,13,level_00_seed_013,6.34,482,19
lama,2007,2,14,level_02_seed_014,5.07,1292,19
lama,2007,2,22,level_02_seed_022,2.23,239,7
lama,2007,2,20,level_02_seed_020,6.36,482,19
lama,2007,0,12,level_00_seed_012,2.19,239,7
lama,2007,0,27,level_00_seed_027,5.09,1292,19
lama,2007,4,12,level_04_seed_012,7.1,673,43
lama,2007,2,28,level_02_seed_028,3.33,1637,33
lama,2007,3,15,level_03_seed_015,7.19,673,43
lama,2007,1,13,level_01_seed_013,4.1,278,30
lama,2007,4,1,level_04_seed_001,3.35,1637,33
lama,2007,4,29,level_04_seed_029,3.36,1637,33
lama,2007,3,3,level_03_seed_003,3.37,1637,33
lama,2007,4,24,level_04_seed_024,6.4,482,19
lama,2007,1,10,level_01_seed_010,4.1,278,30
lama,2007,0,3,level_00_seed_003,2.18,239,7
lama,2007,1,9,level_01_seed_009,4.16,278,30
lama,2007,2,25,level_02_seed_025,5.06,1292,19
lama,2007,4,13,level_04_seed_013,4.21,278,30
lama,2007,1,25,level_01_seed_025,2.19,239,7
lama,2007,3,9,level_03_seed_009,7.32,673,43
lama,2007,0,22,level_00_seed_022,2.23,239,7
