planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-sat-fdss-2023,2007,0,10,level_00_seed_010,5.64,436,19
seq-sat-fdss-2023,2007,3,0,level_03_seed_000,4.38,67,30
seq-sat-fdss-2023,2007,4,3,level_04_seed_003,3.78,482,33
seq-sat-fdss-2023,2007,2,8,level_02_seed_008,2.34,60,8
seq-sat-fdss-2023,2007,3,5,level_03_seed_005,3.8,482,33
seq-sat-fdss-2023,2007,2,27,level_02_seed_027,2.38,60,8
seq-sat-fdss-2023,2007,3,12,level_03_seed_012,5.41,436,19
seq-sat-fdss-2023,2007,3,27,level_03_seed_027,6.66,134,19
seq-sat-fdss-2023,2007,2,16,level_02_seed_016,2.35,60,8
seq-sat-fdss-2023,2007,4,9,level_04_seed_009,3.69,482,33
seq-sat-fdss-2023,2007,0,19,level_00_seed_019,2.33,60,8
seq-sat-fdss-2023,2007,1,23,level_01_seed_023,5.58,436,19
seq-sat-fdss-2023,2007,2,15,level_02_seed_015,6.67,134,19
seq-sat-fdss-2023,2007,3,28,level_03_seed_028,4.37,67,30
seq-sat-fdss-2023,2007,1,19,level_01_seed_019,6.65,134,19
seq-sat-fdss-2023,2007,2,4,level_02_seed_004,4.49,67,30
seq-sat-fdss-2023,2007,0,8,level_00_seed_008,2.37,60,8
seq-sat-fdss-2023,2007,3,8,level_03_seed_008,3.7,482,33
seq-sat-fdss-2023,2007,2,10,level_02_seed_010,3.69,482,33
seq-sat-fdss-2023,2007,3,7,level_03_seed_007,3.7,482,33
seq-sat-fdss-2023,2007,0,20,level_00_seed_020,2.4,60,8
seq-sat-fdss-2023,2007,2,11,level_02_seed_011,2.34,60,8
seq-sat-fdss-2023,2007,1,16,level_01_seed_016,2.35,60,8
seq-sat-fdss-2023,2007,4,20,level_04_seed_020,6.65,134,19
seq-sat-fdss-2023,2007,0,0,level_00_seed_000,2.37,60,8
seq-sat-fdss-2023,2007,4,19,level_04_seed_019,3.71,482,33
seq-sat-fdss-2023,2007,2,1,level_02_seed_001,3.69,482,33
seq-sat-fdss-2023,2007,3,22,level_03_seed_022,3.73,482,33
seq-sat-fdss-2023,2007,1,28,level_01_seed_028,2.36,60,8
seq-sat-fdss-2023,2007,3,23,level_03_seed_023,3.76,482,33
seq-sat-fdss-2023,2007,1,21,level_01_seed_021,2.36,60,8
seq-sat-fdss-2023,2007,3,20,level_03_seed_020,3.7,482,33
seq-sat-fdss-2023,2007,4,18,level_04_seed_018,6.68,134,19
seq-sat-fdss-2023,2007,4,6,level_04_seed_006,6.78,134,19
seq-sat-fdss-2023,2007,4,22,level_04_seed_022,4.42,67,30
seq-sat-fdss-2023,2007,0,2,level_00_seed_002,6.89,134,19
seq-sat-fdss-2023,2007,0,13,level_00_seed_013,6.83,134,19
seq-sat-fdss-2023,2007,2,14,level_02_seed_014,5.39,436,19
seq-sat-fdss-2023,2007,2,22,level_02_seed_022,2.39,60,8
seq-sat-fdss-2023,2007,2,20,level_02_seed_020,6.76,134,19
seq-sat-fdss-2023,2007,0,12,level_00_seed_012,2.37,60,8
seq-sat-fdss-2023,2007,0,27,level_00_seed_027,5.44,436,19
seq-sat-fdss-2023,2007,4,12,level_04_seed_012,7.58,185,39
seq-sat-fdss-2023,2007,2,28,level_02_seed_028,3.75,482,33
seq-sat-fdss-2023,2007,3,15,level_03_seed_015,7.36,185,39
seq-sat-fdss-2023,2007,1,13,level_01_seed_013,4.4,67,30
seq-sat-fdss-2023,2007,4,1,level_04_seed_001,3.98,482,33
seq-sat-fdss-2023,2007,4,29,level_04_seed_029,3.78,482,33
seq-sat-fdss-2023,2007,3,3,level_03_seed_003,3.7,482,33
seq-sat-fdss-2023,2007,4,24,level_04_seed_024,6.63,134,19
seq-sat-fdss-2023,2007,1,10,level_01_seed_010,4.39,67,30
seq-sat-fdss-2023,2007,0,3,level_00_seed_003,2.43,60,8
seq-sat-fdss-2023,2007,1,9,level_01_seed_009,4.39,67,30
seq-sat-fdss-2023,2007,2,25,level_02_seed_025,5.52,436,19
seq-sat-fdss-2023,2007,4,13,level_04_seed_013,4.39,67,30
seq-sat-fdss-2023,2007,1,25,level_01_seed_025,2.44,60,8
seq-sat-fdss-2023,2007,3,9,level_03_seed_009,7.41,185,39
seq-sat-fdss-2023,2007,0,22,level_00_seed_022,2.36,60,8
seq-sat-fdss-2023,2007,2,26,level_02_seed_026,6.65,134,19
seq-sat-fdss-2023,2007,0,7,level_00_seed_007,2.34,60,8
seq-sat-fdss-2023,2007,0,4,level_00_seed_004,5.51,436,19
seq-sat-fdss-2023,2007,0,26,level_00_seed_026,2.36,60,8
seq-sat-fdss-2023,2007,1,4,level_01_seed_004,5.46,436,19
seq-sat-fdss-2023,2007,1,14,level_01_seed_014,5.43,436,19
seq-sat-fdss-2023,2007,3,13,level_03_seed_013,5.62,436,19
seq-sat-fdss-2023,2007,4,7,level_04_seed_007,6.63,134,19
seq-sat-fdss-2023,2007,1,24,level_01_seed_024,4.4,67,30
seq-sat-fdss-2023,2007,1,5,level_01_seed_005,6.74,134,19
seq-sat-fdss-2023,2007,4,5,level_04_seed_005,3.71,482,33
seq-sat-fdss-2023,2007,3,29,level_03_seed_029,4.41,67,30
seq-sat-fdss-2023,2007,3,2,level_03_seed_002,5.51,436,19
seq-sat-fdss-2023,2007,4,15,level_04_seed_015,7.28,185,39
seq-sat-fdss-2023,2007,0,5,level_00_seed_005,6.54,134,19
seq-sat-fdss-2023,2007,0,9,level_00_seed_009,5.51,436,19
seq-sat-fdss-2023,2007,3,21,level_03_seed_021,7.45,185,39
seq-sat-fdss-2023,2007,2,17,level_02_seed_017,3.77,482,33
seq-sat-fdss-2023,2007,2,19,level_02_seed_019,2.4,60,8
seq-sat-fdss-2023,2007,4,4,level_04_seed_004,6.2,255,62
