planner,difficulty,time_taken,expanded_states,plan_length
FDSS-AGL,0,0.57,841.67,221.33
FDSS-AGL,1,0.66,753.67,516.00
FDSS-AGL,2,0.76,1377.00,1118.67
FDSS-AGL,3,2.69,59385.33,2564.00
FDSS-AGL,4,9.86,266403.00,5624.67
Odin,0,119.44,3931.33,203.33
Odin,1,126.99,17986.33,486.00
Odin,2,113.72,110238.67,1080.67
Odin,3,137.50,627651.33,2467.33
Odin,4,216.51,9107517.00,5390.00
Scorpion,0,110.53,3931.33,203.33
Scorpion,1,111.04,17977.67,486.00
Scorpion,2,114.08,110238.67,1080.67
Scorpion,3,130.50,627651.33,2467.33
Scorpion,4,248.71,9107355.00,5390.00
Lama,0,4.68,19092.33,203.33
Lama,1,5.21,79941.33,486.00
Lama,2,12.74,520981.00,1080.67
Lama,3,59.93,2779607.33,2467.33
Lama,4,863.09,36648186.33,5390.00
